test_id,lab,price_ron,url,checked_at
25_oh_vitamin_d,Synevo,170.00,https://www.synevo.ro/shop/25-oh-vitamina-d/,2026-08-28
amh,Synevo,237.00,https://www.synevo.ro/shop/hormon-anti-mullerian-amh/,2026-08-28
anti_thyroglobulin_antibodies,Synevo,82.00,https://www.synevo.ro/shop/tg-tiroglobulina/,2026-08-28
anti_tpo_antibodies,Synevo,71.00,https://www.synevo.ro/shop/anti-tpo-anti-tiroidperoxidaza/,2026-08-28
apob,Synevo,52.00,https://www.synevo.ro/shop/apolipoproteina-b/,2026-08-28
b12_with_folate,Synevo,76.00,https://www.synevo.ro/shop/vitamina-b12/,2026-08-28
cystatin_c_with_creatinine,Synevo,115.00,https://www.synevo.ro/shop/cistatina-c/,2026-08-28
esr,Synevo,20.00,https://www.synevo.ro/shop/viteza-de-sedimentare-a-hematiilor-vsh/,2026-08-28
fasting_insulin,Synevo,65.00,https://www.synevo.ro/shop/insulina/,2026-08-28
ferritin,Synevo,57.00,https://www.synevo.ro/shop/feritina/,2026-08-28
free_t4,Synevo,57.00,https://www.synevo.ro/shop/ft4-tiroxina-libera/,2026-08-28
free_t4_with_free_t3,Synevo,57.00,https://www.synevo.ro/shop/ft4-tiroxina-libera/,2026-08-28
fsh_with_estradiol_day_2_5,Synevo,62.00,https://www.synevo.ro/shop/fsh-hormon-de-stimulare-foliculara/,2026-08-28
ggt,Synevo,24.00,https://www.synevo.ro/shop/gama-glutamiltransferaza-glutamiltranspeptidaza/,2026-08-28
h_pylori_stool_antigen,Synevo,110.00,https://www.synevo.ro/shop/antigen-helicobacter-pylori-din-materii-fecale/,2026-08-28
haemoglobin_electrophoresis,Synevo,71.00,https://www.synevo.ro/shop/electroforeza-hemoglobinei/,2026-08-28
hba1c,Synevo,59.00,https://www.synevo.ro/shop/hemoglobina-glicata-hb-a1c/,2026-08-28
hbsag_with_anti_hcv,Synevo,61.00,https://www.synevo.ro/shop/ag-hbs-screening/,2026-08-28
hcv_rna,Synevo,331.00,https://www.synevo.ro/shop/anti-hcv-confirmare/,2026-08-28
hfe_genotype_c282y_h63d,Synevo,505.00,https://www.synevo.ro/shop/hemocromatoza-ereditara-mutatii-hfe-c282y-h63d/,2026-08-28
hla_dq2_dq8_typing,Synevo,990.00,https://www.synevo.ro/shop/predispozitie-genetica-boala-celiaca-hla-dq2-dq8/,2026-08-28
holotranscobalamin,Synevo,178.00,https://www.synevo.ro/shop/holotranscobalamina-vitamina-b12-activa/,2026-08-28
intrinsic_factor_antibodies,Synevo,356.00,https://www.synevo.ro/shop/anticorpi-anti-factor-intrinsec/,2026-08-28
lh_and_fsh,Synevo,59.00,https://www.synevo.ro/shop/lh-hormon-luteinizant/,2026-08-28
lh_with_shbg,Synevo,73.00,https://www.synevo.ro/shop/shbg-sex-hormone-binding-globuline/,2026-08-28
lp_a,Synevo,135.00,https://www.synevo.ro/shop/lipoproteina-a/,2026-08-28
lp_a_once,Synevo,135.00,https://www.synevo.ro/shop/lipoproteina-a/,2026-08-28
methylmalonic_acid,Synevo,377.00,https://www.synevo.ro/shop/acid-metilmalonic-in-ser/,2026-08-28
morning_testosterone_repeated,Synevo,61.00,https://www.synevo.ro/shop/testosteron/,2026-08-28
ogtt,Synevo,61.00,https://www.synevo.ro/shop/test-de-toleranta-la-glucoza-per-os-75g/,2026-08-28
ogtt_with_insulin,Synevo,284.00,https://www.synevo.ro/shop/test-de-toleranta-la-glucoza-cu-dozarea-insulinei/,2026-08-28
pepsinogen_i_and_ii_with_gastrin_17,Synevo,254.00,https://www.synevo.ro/shop/gastrina/,2026-08-28
psa_discussion,Synevo,60.00,https://www.synevo.ro/shop/psa-antigen-specific-prostatic/,2026-08-28
red_cell_folate,Synevo,60.00,https://www.synevo.ro/shop/folati-serici/,2026-08-28
repeat_b12,Synevo,76.00,https://www.synevo.ro/shop/vitamina-b12/,2026-08-28
repeat_hs_crp_after_2_weeks,Synevo,76.00,https://www.synevo.ro/shop/proteina-c-reactiva-hscrp-inalt-sensibila/,2026-08-28
repeat_ldl_off_any_treatment,Synevo,100.00,https://www.synevo.ro/shop/profil-lipidic/,2026-08-28
repeat_tsh_in_6_months,Synevo,56.00,https://www.synevo.ro/shop/tsh-hormon-de-stimulare-tiroidiana/,2026-08-28
serum_folate,Synevo,60.00,https://www.synevo.ro/shop/folati-serici/,2026-08-28
total_and_free_testosterone,Synevo,69.00,https://www.synevo.ro/shop/testosteron-liber/,2026-08-28
transferrin_saturation_and_tibc,Synevo,64.00,https://www.synevo.ro/shop/coeficientul-de-saturatie-a-transferinei/,2026-08-28
transferrin_saturation_with_ferritin,Synevo,64.00,https://www.synevo.ro/shop/coeficientul-de-saturatie-a-transferinei/,2026-08-28
tsh,Synevo,56.00,https://www.synevo.ro/shop/tsh-hormon-de-stimulare-tiroidiana/,2026-08-28
tsh_receptor_antibodies_trab,Synevo,147.00,https://www.synevo.ro/shop/anticorpi-anti-receptor-tsh-trab/,2026-08-28
ttg_iga_with_total_iga,Synevo,195.00,https://www.synevo.ro/shop/anticorpi-antitransglutaminaza-tisulara-iga-igg/,2026-08-28
uric_acid,Synevo,21.00,https://www.synevo.ro/shop/acid-uric-seric/,2026-08-28
urine_albumin_creatinine_ratio,Synevo,61.00,https://www.synevo.ro/shop/albuminurie-raport-albumina-creatinina/,2026-08-28
