"Year","Sex","Country/Region/World","ISO","Prevalence of BMI<18.5 kg/m² (underweight)","Prevalence of BMI<18.5 kg/m² (underweight) lower 95% uncertainty interval","Prevalence of BMI<18.5 kg/m² (underweight) upper 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity)","Prevalence of BMI>=30 kg/m² (obesity) lower 95% uncertainty interval","Prevalence of BMI>=30 kg/m² (obesity) upper 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m²","Prevalence of BMI 18.5 kg/m² to <20 kg/m² lower 95% uncertainty interval","Prevalence of BMI 18.5 kg/m² to <20 kg/m² upper 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m²","Prevalence of BMI 20 kg/m² to <25 kg/m² lower 95% uncertainty interval","Prevalence of BMI 20 kg/m² to <25 kg/m² upper 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m²","Prevalence of BMI 25 kg/m² to <30 kg/m² lower 95% uncertainty interval","Prevalence of BMI 25 kg/m² to <30 kg/m² upper 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m²","Prevalence of BMI 30 kg/m² to <35 kg/m² lower 95% uncertainty interval","Prevalence of BMI 30 kg/m² to <35 kg/m² upper 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m²","Prevalence of BMI 35 kg/m² to <40 kg/m² lower 95% uncertainty interval","Prevalence of BMI 35 kg/m² to <40 kg/m² upper 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity)","Prevalence of BMI >=40 kg/m² (morbid obesity) lower 95% uncertainty interval","Prevalence of BMI >=40 kg/m² (morbid obesity) upper 95% uncertainty interval"
"2005","Men","Germany","DEU","0.007273066630046138","0.00561653624224344","0.009233962611056606","0.21536582971733048","0.20075236111733158","0.2301188680726981","0.02197989818026781","0.019046588943586355","0.0251215342455968","0.3212360318707513","0.3057854755011473","0.33688852440972555","0.43414517160160426","0.41722934517283083","0.4510423643276038","0.16705693665053162","0.15352603578551383","0.18109074477781925","0.03754591002229186","0.03201398855850546","0.04346781492792775","0.010762983044506983","0.008270654951341484","0.013627010836814883"
"2006","Men","Germany","DEU","0.007107775342795702","0.005442334026037669","0.009044505241758125","0.21921918867692491","0.2046577831840126","0.23403312177414454","0.021430413185282805","0.018525182722145733","0.0245728445238963","0.3184151443166863","0.3030002599503863","0.3339241626257984","0.43382747647831027","0.4168257260509425","0.45043264526953214","0.16917282717060264","0.15559519150525178","0.18310621126343377","0.038755410631656786","0.03304075218094696","0.04486938071617639","0.011290950874665473","0.008732723887118501","0.014313949452615903"
"2007","Men","Germany","DEU","0.0069590034425478665","0.0052848182307646385","0.008860895435216301","0.22244299952520374","0.2077513545046022","0.2372976284991873","0.02095728151390181","0.01809339525479517","0.024022446198777452","0.31627094551653934","0.3011596201250362","0.3317206582015079","0.43336976800180727","0.41660193902999654","0.4499254090237465","0.17092679970578437","0.15707400555428744","0.18483424627001518","0.03974621931774823","0.03393805834004725","0.04603384843474318","0.011769980501671133","0.009188130294855162","0.014853589877789867"
"2008","Men","Germany","DEU","0.006830312449638942","0.005138380129585056","0.008725763428178688","0.22494219166990745","0.21046970394995024","0.23966509465656544","0.020572012318755762","0.01771548673241343","0.023644501747870975","0.31488585341367276","0.29992385919742137","0.33018747868232007","0.4327696281480251","0.4161882797908331","0.4493003777003276","0.17228041811894473","0.15841916900157355","0.18612156692351817","0.04046960026107104","0.0346408111625926","0.04675453491133147","0.012192173289891674","0.009603510999418667","0.015315363316341458"
"2009","Men","Germany","DEU","0.006722440452729706","0.005023272890477571","0.00862995826988844","0.22667448362033008","0.21201686056559596","0.24100304840082282","0.0202839786684315","0.017432482244447982","0.02336128349006544","0.314234096391963","0.2991793552645242","0.32963672734865423","0.4320849988665457","0.4154786216403811","0.4486056800911368","0.17321521027079542","0.1593464480528311","0.18694655477939381","0.04090391024577899","0.03513633671786149","0.04723940244735056","0.01255536310375569","0.009904301275170108","0.015754235413642036"
"2010","Men","Germany","DEU","0.006636238648520643","0.004906530997266248","0.008629078523651","0.22765337194196872","0.2129946329520553","0.2422491085798351","0.020091543908283816","0.017159572917093278","0.023245737166223645","0.3142826843012884","0.29902801586940303","0.32979193444212307","0.43133615919993834","0.414518526475287","0.4482809881695627","0.17374202011434986","0.1598192442108649","0.18769677410349359","0.04105650632860998","0.03528823639701324","0.04742862251937437","0.012854845499008852","0.010140599318597152","0.01611839542790277"
"2011","Men","Germany","DEU","0.006572167743659917","0.00479169594330304","0.008636768482690738","0.22797678188745307","0.21269755262195428","0.24298323210194334","0.019991858551728886","0.016901118711735472","0.02328949865683274","0.31487314107714326","0.29892881073681915","0.33095223782311645","0.4305860487400148","0.41312242429004264","0.4479645568066776","0.17391431700150195","0.15952858143155454","0.18843737484466522","0.04096578732089014","0.0350048273156365","0.04734070413349232","0.013096677565060992","0.010279981341343426","0.016444546283490333"
"2012","Men","Germany","DEU","0.006530964349553054","0.004660445745070371","0.00874528732627208","0.22784499129290522","0.21191189687063094","0.24359459546714926","0.0199866944956372","0.01669135422974415","0.023573423326512136","0.31582357528791644","0.2994018581788213","0.3332211219292383","0.4298137725739881","0.41158134013989206","0.4477839950143801","0.17386094535843938","0.15883649524346735","0.18929960473939267","0.040699396504313666","0.03450660186710909","0.04732368477043532","0.013284649430152153","0.010326377514047313","0.016827466705982886"
"2013","Men","Germany","DEU","0.006509308403633856","0.004540879520128641","0.008898875655094732","0.2275388894058685","0.21063897884618782","0.24441098182211962","0.02006778105641983","0.01645934521641731","0.02399312723711954","0.31686420254320846","0.29951568294147546","0.33561298447497667","0.42901981659086935","0.40939451836750174","0.447545904929128","0.17375584519822732","0.15801900483778042","0.18998848102908522","0.04034602458297761","0.033849058513834546","0.047204646671677765","0.013437019624663593","0.010299436629469416","0.017195919955004774"
"2014","Men","Germany","DEU","0.006509752561298106","0.004431524025760036","0.009070741802553624","0.22723067796229082","0.20911584399725297","0.2453723637225929","0.02021665255686489","0.01626247458072559","0.024608465556679403","0.3178813557719745","0.29903791297421567","0.33781883356852566","0.4281615591475717","0.40692448558542765","0.4484802138672768","0.17369001177921148","0.15667094616194985","0.19110346138583625","0.039964337855836585","0.03321762059753759","0.04713427447143321","0.01357632832724275","0.010276799171332049","0.017570634070960732"
