"Country/Region/World","ISO","Sex","Year","Age","Prevalence of diabetes (18+ years)","Prevalence of diabetes (18+ years) lower 95% uncertainty interval","Prevalence of diabetes (18+ years) upper 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years)","Proportion of people with diabetes who were treated (30+ years) lower 95% uncertainty interval","Proportion of people with diabetes who were treated (30+ years) upper 95% uncertainty interval"
"India","IND","Women","2021","Crude","0.219984803052175","0.173539615429027","0.269528778220994","0.270873437148655","0.199561085730889","0.348822342044193"
"India","IND","Women","2022","Crude","0.229805934595152","0.17355481013515","0.290633964728524","0.273295117630121","0.193472883422359","0.362790185340375"
"Romania","ROU","Men","1990","Crude","0.0407431686165236","0.0207716511301254","0.0699294941200493","0.313163089862486","0.135164689711828","0.53390924102304"
"Romania","ROU","Men","1991","Crude","0.0399298571854846","0.0213474650485249","0.0665642770594873","0.316948731729624","0.143027995465904","0.530176069062159"
"Romania","ROU","Men","1992","Crude","0.0392937495872013","0.0219403206876914","0.0637807836345494","0.321073583696594","0.152174783333888","0.528852752477192"
"Romania","ROU","Men","1993","Crude","0.0388633622082202","0.0224121155246273","0.0615574745388106","0.32559050946985","0.157972402324734","0.526355835689229"
"Romania","ROU","Men","1994","Crude","0.0386575357246219","0.022917163169371","0.0600122101825913","0.330336379559307","0.165437905359536","0.526313637508053"
"Romania","ROU","Men","1995","Crude","0.0386685023371001","0.0233652007527766","0.0592040035650513","0.335330011073476","0.172254077243921","0.526745889040461"
"Romania","ROU","Men","1996","Crude","0.0388885069646625","0.024050253724766","0.0589562370400279","0.340681255169352","0.180810259874132","0.525513429998522"
"Romania","ROU","Men","1997","Crude","0.039379651570807","0.0249699684164522","0.0590288423397182","0.346150054725984","0.189651279693822","0.52554975268652"
"Romania","ROU","Men","1998","Crude","0.0402000776355043","0.0256682295779574","0.0596029167099617","0.351750702807323","0.197575628706339","0.52424714812776"
"Romania","ROU","Men","1999","Crude","0.041373285478911","0.0265652553396502","0.0611917729925109","0.357750861165953","0.207497403935237","0.523531431284252"
