"Country","ISO","Sex","Year","Age","Prevalence of hypertension","Prevalence of hypertension lower 95% uncertainty interval","Prevalence of hypertension upper 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension","Proportion of diagnosed hypertension among all hypertension lower 95% uncertainty interval","Proportion of diagnosed hypertension among all hypertension upper 95% uncertainty interval","Proportion of treated hypertension among all hypertension","Proportion of treated hypertension among all hypertension lower 95% uncertainty interval","Proportion of treated hypertension among all hypertension upper 95% uncertainty interval","Proportion of controlled hypertension among all hypertension","Proportion of controlled hypertension among all hypertension lower 95% uncertainty interval","Proportion of controlled hypertension among all hypertension upper 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension","Proportion of untreated stage 2 hypertension among all hypertension lower 95% uncertainty interval","Proportion of untreated stage 2 hypertension among all hypertension upper 95% uncertainty interval"
"United Kingdom","GBR","Men","2000","75-79","0.713793102509601","0.678933167043337","0.746589126874898","0.563919581156672","0.508291505900796","0.619406511681234","0.4658447882174","0.41483211422421","0.516648163282657","0.144936293751223","0.111848180631884","0.18266286837238","0.221709520533824","0.189443060126754","0.256378558830563"
"United Kingdom","GBR","Men","2001","75-79","0.708239544240158","0.673895266743439","0.739968123882264","0.586509810025266","0.532366557929615","0.638781442136237","0.489162311057252","0.439755288015651","0.538808179388864","0.16550898251758","0.130867768185868","0.204784492422132","0.202153783695368","0.172342671739568","0.233897097970841"
"United Kingdom","GBR","Men","2002","75-79","0.703035597168426","0.669670734152206","0.733785373776829","0.608284641324139","0.555670860994658","0.659188224616328","0.513033893495309","0.4654851736598","0.561084908185265","0.188387993008336","0.151889884206308","0.229410979427636","0.183849151640961","0.156883688678932","0.2133343550936"
"United Kingdom","GBR","Men","2003","75-79","0.698194734019525","0.666001438736318","0.728576286462645","0.629021875221148","0.578302977700918","0.679304985838137","0.53707676064937","0.490511478128572","0.584022586832978","0.213367997653267","0.174793846098605","0.255764175361231","0.166854128846206","0.142039710039309","0.194320329203704"
"United Kingdom","GBR","Men","2004","75-79","0.693596676650105","0.661242092623417","0.724213181373692","0.648674030365649","0.599235000199681","0.696794617023947","0.560576364536963","0.515018496981613","0.607044562824643","0.23971382878198","0.198545520174904","0.284083912626367","0.151352223795017","0.128340330223389","0.176750929581562"
"United Kingdom","GBR","Men","2005","75-79","0.689267147205797","0.657276030322764","0.719827688886477","0.666913289124885","0.619116737581594","0.713235467530243","0.582913433158498","0.538500619054916","0.62817894947377","0.26630728383254","0.223800316704728","0.311996836955443","0.137433237510385","0.115874603876964","0.1607221792791"
"United Kingdom","GBR","Men","2006","75-79","0.685331221767846","0.653059538371534","0.716189660751567","0.683879822158012","0.637667398950771","0.72889086123509","0.603724940097935","0.559337011515117","0.647850306867083","0.292207754346277","0.249011867393129","0.339609618917432","0.125092881242115","0.104959924413698","0.14676267645164"
"United Kingdom","GBR","Men","2007","75-79","0.681613436391981","0.650084195812939","0.713255335515423","0.699592555057086","0.654967099861568","0.743113171137864","0.622930864889596","0.578870975204202","0.666813931399977","0.317138518060404","0.273022362145432","0.364883403425722","0.114187670593887","0.0948579391064733","0.134724803350907"
"United Kingdom","GBR","Men","2008","75-79","0.677990070232141","0.645746182420839","0.709378981279712","0.714191778846889","0.671707469300043","0.756124284454301","0.640642857101361","0.597212315614843","0.683186114863396","0.341041802268727","0.29496035079058","0.389138618468427","0.104538759994736","0.0864356582340132","0.123908425663421"
"United Kingdom","GBR","Men","2009","75-79","0.674365152390579","0.642529781967555","0.705570559781457","0.727916198351909","0.686358742027516","0.76762540365755","0.657059941784528","0.61469511808093","0.698118213395231","0.363847829990089","0.317105425510961","0.412997106019705","0.0958972828176338","0.0787653844875769","0.114590187002623"
